Артикул;Наименование;Св.;Св.+Тр.;Б.Тр.;Цена, usd;Цена, руб.;Доп.;Гар.;Производитель;Категория;Раздел;Вес [кг];Объём [л]
GS1920-48;Zyxel Интеллектуальный коммутатор Gigabit Ethernet с 48 разъемами RJ-45 из которых 4 совмещены с SFP-слотами и 2 дополнительными SFP-слотами;0;1;;519;;;1 год;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.00;14,54
GS1900-24HP;ZyXEL GS1900-24HP Интеллектуальный High Power PoE-коммутатор (170W) Gigabit Ethernet с 24 разъемами RJ-45 и 2 SFP-слотами;0;много;;508;;;1 год;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;5.10;26,10
GS1900-16;ZyXEL GS1900-16 Интеллектуальный коммутатор Gigabit Ethernet с 16 разъемами RJ-45;0;много;;145;;;1 год;Zyxel;Smart (WEB) управляемые;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;1.80;5,31
Категория - 08. Сетевое оборудование->Локальные сети-> Управляемые коммутаторы->Коммутаторы для рабочих групп;;;;;;;;;;;;;
AT-9000/28;Allied Telesis Gigabit managed ‘Green’ switch with 24 10/100/1000T Mbps ports and 4 10/100/1000T or SFP combo ports (rep. AT-9000/24);много;много;;670;;;5 лет;Allied Telesis;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.82;20,90
AT-8000S/24POE-50;Allied Telesis 24 Port POE Stackable Managed Fast Ethernet Switch with Two 10/100/1000T / SFP Combo uplinks;много;много;;820;;;5 лет;Allied Telesis;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.30;23,87
AT-8000S/24;"Allied Telesis 24 x10/100TX + 2x10/100/1000T or SFP, managed L2, Stackable, up to 6 units, 19"" rackmount hardware included";много;много;;380;;;5 лет;Allied Telesis;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.20;23,40
AT-8000GS/24-50;Allied Telesis Layer 2 switch with 24-10/100/1000Base-T ports plus 4 active SFP slots (unpopulated);много;много;;710;;;5 лет;Allied Telesis;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;4.90;22,80
AT-8000GS/24POE-50;Allied Telesis Layer 2 switch with 24-10/100/1000Base-T ports plus 4 active SFP slots (unpopulated)(AT-8000GS/24POE-50);много;много;;1150;;;5 лет;Allied Telesis;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.00;20,90
AT-9000/52-50;Allied Telesis Layer 2 Switch with 48-10/100/1000Base-T ports plus 4 active SFP slots (unpopulated). ECO SWITCH;много;много;;1180;;;5 лет;Allied Telesis;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;6.00;20,90
AT-x210-16GT-50;Allied Telesis L2+ switch with 14 x 10/100/1000TX ports and 2 100/1000TX / SFP combo ports (16 ports total);2;2;;793;;;;Allied Telesis;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.50;24,42
AT-x210-9GT-50;Allied Telesis L2+ switch with 8 x 10/100/1000TX ports and 1 SFP port (9 ports total);2;2;;471;;;;Allied Telesis;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;2.20;12,30
AT-8000S/16;"Allied Telesis 16x10/100TX + 1x10/100/1000T or SFP, managed L2, fanless, 19"" rackmount hardware included";много;много;;330;;;5 лет;Allied Telesis;Коммутаторы для рабочих групп;08. Сетевое оборудование -> Локальные сети -> Управляемые коммутаторы;3.00;15,15
